"dates_filed","house_bill_no","full_title","short_title","republic_act_no","republic_act_title","significance","category","author","status","legislation","authorship","enacted_into_law","date_of_enactment"
2013-07-09,"HB01222","AN ACT TO ESTABLISH AND MAINTAIN AN OFFICE OF VETERANS AFFAIRS IN THE PHILIPPINE EMBASSY IN THE UNITED STATES OF AMERICA, PRESCRIBING ITS FUNCTIONS, PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES"," Establishing And Maintaining An Office Of Veterans Affairs In The Philippine Embassy In The United States Of America",,,"National","VETERANS AFFAIRS AND WELFARE","RODRIGUEZ, RUFUS B.","Approved by the House on 2014-05-19, transmitted to the Senate on 2014-05-21 and received by the Senate on 2014-05-21","bill","co-author","no",
2013-07-09,"HB01239","AN ACT ESTABLISHING AT LEAST ONE (1) SPECIAL EDUCATION (SPED) CENTER FOR EACH SCHOOL DIVISION AND AT LEAST THREE (3) SPED CENTERS IN BIG SCHOOL DIVISIONS FOR CHILDREN WITH SPECIAL NEEDS (CSNs), CREATING THE IMPLEMENTING MACHINERY THEREOF, PROVIDING GUIDELINES FOR GOVERNMENT FINANCIAL ASSISTANCE AND OTHER INCENTIVES AND SUPPORT, AND FOR OTHER PURPOSES",,,,"National","WELFARE OF CHILDREN","ACHARON, PEDRO JR. B.","Substituted by HB04558, Mother Bill Status: Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2013-07-10,"HB01315","AN ACT MANDATING THE IMPOSITION OF PENALTY LOWER THAN THAT PRESCRIBED BY LAW IN CRIMINAL CASES THE CIVIL CASE OF WHICH IS SETTLED THROUGH OR BY ALTERNATIVE DISPUTE RESOLUTION AMENDING FOR THAT PURPOSE REPUBLIC ACT NO. 9285
",,,,"National","REVISION OF LAWS","ESCUDERO, EVELINA G.","Substituted by HB04442, Mother Bill Status: Approved by the House on 2014-05-26, transmitted to the Senate on 2014-05-28 and received by the Senate on 2014-05-28","bill","co-author","no",
2013-07-10,"HB01330","AN ACT AMENDING REPUBLIC ACT NO. 9262, DEFINING ELECTRONIC VIOLENCE AGAINST WOMEN OR E-VAW, PROVIDING PROTECTIVE MEASURES AND PRESCRIBING PENALTIES THEREFORE, AND FOR OTHER PURPOSES
",,,,"National","WOMEN AND GENDER EQUALITY","DE JESUS, EMMI A.","Substituted by HB05675, Mother Bill Status: Approved by the House on 2015-05-19, transmitted to the Senate on 2015-05-21 and received by the Senate on 2015-05-21","bill","co-author","no",
2013-07-16,"HB01464","AN ACT DECLARING THE PROVINCE OF MISAMIS ORIENTAL A TOURISM ZONE, APPROPRIATING FUNDS THEREFOR AND FOR OTHER PURPOSES"," Declaring The Province Of Misamis Oriental A Tourism Zone",,,"Local","TOURISM","UY, JULIETTE T.","Approved by the House on 2014-08-26, transmitted to the Senate on 2014-09-01 and received by the Senate on 2014-09-01","bill","co-author","no",
2013-07-18,"HB01590","AN ACT RECOGNIZING SPOUSAL VIOLENCE, INFIDELITY AND ABANDONMENT AS CONCLUSIVE PRESUMPTION OF PSYCHOLOGICAL INCAPACITY CONSTITUTING A GROUND FOR THE DECLARATION OF NULLITY OF MARRIAGE, AMENDING ARTICLE 36 OF THE FAMILY CODE FOR THAT PURPOSE",,,,"National","REVISION OF LAWS","COLMENARES, NERI","Pending with the Committee on REVISION OF LAWS since 2013-07-30","bill","co-author","no",
2013-07-23,"HB01626","AN ACT ESTABLISHING AT LEAST ONE (1) SPECIAL EDUCATION (SPED) CENTER FOR EACH SCHOOL DIVISION AND AT LEAST THREE (3) SPED CENTERS IN BIG SCHOOL DIVISIONS FOR CHILDREN WITH SPECIAL NEEDS (CSN), PROVIDING GUIDELINES THEREFOR AND FOR OTHER PURPOSES",,,,"National","WELFARE OF CHILDREN","RODRIGUEZ, RUFUS B.","Substituted by HB04558, Mother Bill Status: Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2013-07-23,"HB01641","AN ACT DECLARING THE CELEBRATION OF THE NATIONAL CHILDREN'S MONTH IN THE COUNTRY ON OCTOBER OF EVERY YEAR"," National Children's Month Act","RA10661"," AN ACT DECLARING NOVEMBER OF EVERY YEAR AS NATIONAL CHILDREN'S MONTH","National","WELFARE OF CHILDREN","YAP, SUSAN A.","Republic Act RA10661 enacted on 2015-05-29","bill","co-author","yes",2015-05-29
2013-07-25,"HB01905","AN ACT ESTABLISHING AT LEAST ONE (1) SPECIAL EDUCATION (SPED) CENTER FOR EACH SCHOOL DIVISION AND AT LEAST THREE (3) SPED CENTERS IN BIG SCHOOL DIVISIONS FOR CHILDREN WITH SPECIAL NEEDS (CSN), PROVIDING GUIDELINES THEREFOR AND FOR OTHER PURPOSES",,,,"National","WELFARE OF CHILDREN","YAP, SUSAN A.","Substituted by HB04558, Mother Bill Status: Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2013-07-29,"HB01979","AN ACT TO STRENGTHEN NATION-BUILDING THROUGH THE INSTITUTIONALIZATION OF A STRATEGIC VOLUNTEERISM BASED MULTI-SECTORAL PUBLIC-PRIVATE PARTNERSHIP FRAMEWORK IN ALL LOCAL GOVERNMENT UNITS AND CONGRESSIONAL DISTRICTS IN THE COUNTRY, AND FOR OTHER PURPOSES"," Filipino Volunteerism In Nation - Building ( V N B) Or Bayanihan Sa Bagumbayan ( B S B) Act",,,"National","PEOPLE","RODRIGUEZ, RUFUS B.","Approved by the House on 2014-05-05, transmitted to the Senate on 2014-05-07 and received by the Senate on 2014-05-07","bill","co-author","no",
2013-07-31,"HB02173","AN ACT ESTABLISHING A BRANCH REGISTRY OFFICE OF THE LAND REGISTRATION AUTHORITY IN THE MUNICIPALITY OF ROSARIO, BATANGAS TO BE KNOWN AS REGISTRY OF DEEDS ROSARIO, BATANGAS, AND APPROPRIATING FUNDS THEREFOR",,,,"Local","JUSTICE","MENDOZA, MARK LLANDRO L.","Pending with the Committee on JUSTICE since 2013-08-07","bill","co-author","no",
2013-08-05,"HB02251","AN ACT AMENDING EXECUTIVE ORDER NO. 209, OTHERWISE KNOWN AS THE FAMILY CODE OF THE PHILIPPINES, BY HARMONIZING SAID LAW WITH RECENT RULINGS OF THE SUPREME COURT OF THE PHILIPPINES ON DIVORCE OBTAINED BY THE ALIEN SPOUSE IN ANOTHER COUNTRY",,,,"National","REVISION OF LAWS","RODRIGUEZ, RUFUS B.","Substituted by HB05907, Mother Bill Status: Approved by the House on 2015-08-24, transmitted to the Senate on 2015-08-27 and received by the Senate on 2015-08-27","bill","co-author","no",
2013-08-07,"HB02343","AN ACT PROVIDING FOR THE ESTABLISHMENT OF CENTERS FOR CHILDREN WITH AUTISM AND THOSE WITH HEARING AND SPEECH IMPAIRMENT",,,,"National","WELFARE OF CHILDREN","DE VENECIA, MA. GEORGINA P.","Substituted by HB04558, Mother Bill Status: Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2013-08-15,"HB02492","AN ACT ENHANCING THE CURRENT TAX SYSTEM BY IMPLEMENTING MEASURES THAT ENSURE TRANSPARENCY IN THE MANAGEMENT AND ACCOUNTING OF TAX INCENTIVES GRANTED TO GOVERNMENT AND NONGOVERNMENT ENTITIES AND FOR OTHER PURPOSES",,"RA10708",,"National","WAYS AND MEANS","GERONA-ROBREDO, MARIA LEONOR","Substituted by HB05831, Mother Bill Status: Republic Act RA10708 enacted on 2015-12-09","bill","primary author","yes",2015-12-09
2013-08-27,"HB02539","AN ACT AMENDING ACT NUMBER 3815 ENTITLED, 'THE REVISED PENAL CODE', BY CLASSIFYING CRIMINAL ACTS COMMITTED AGAINST PREGNANT WOMEN AND PERSONS WITH DISABILITIES AS AN AGGRAVATING CIRCUMSTANCE",,,,"National","REVISION OF LAWS","VELASCO, LORNA Q.","Pending with the Committee on REVISION OF LAWS since 2013-09-02","bill","co-author","no",
2013-08-28,"HB02630","AN ACT APPROPRIATING FUNDS FOR THE OPERATION OF THE GOVERNMENT OF THE REPUBLIC OF THE PHILIPPINES FROM JANUARY ONE TO DECEMBER THIRTY-ONE, TWO THOUSAND AND FOURTEEN, AND FOR OTHER PURPOSES"," General Appropriations Act Of 2014","RA10633"," AN ACT APPROPRIATING FUNDS FOR THE OPERATION OF THE GOVERNMENT OF THE REPUBLIC OF THE PHILIPPINES FROM JANUARY ONE TO DECEMBER THIRTY-ONE, TWO THOUSAND AND FOURTEEN, AND FOR OTHER PURPOSES","National","APPROPRIATIONS","UNGAB, ISIDRO T.","Republic Act RA10633 enacted on 2013-12-20","bill","co-author","yes",2013-12-20
2013-09-04,"HB02740","AN ACT TO EFFECTIVELY INSTILL HEALTH CONSCIOUSNESS THROUGH PICTURE-BASED HEALTH WARNINGS ON TOBACCO PRODUCTS",,"RA10643",,"National","HEALTH","PAQUIZ, LEAH S.","Substituted by HB04590, Mother Bill Status: Republic Act RA10643 enacted on 2014-07-15","bill","co-author","yes",2014-07-15
2013-09-04,"HB02744","AN ACT STRENGTHENING THE PHILIPPINE COMPREHENSIVE POLICY ON HIV AND AIDS PREVENTION, TREATMENT, CARE AND SUPPORT AND ESTABLISHING THE PHILIPPINE NATIONAL HIV AND AIDS PROGRAM, REVISING FOR THE PURPOSE REPUBLIC ACT NO. 8504, OTHERWISE KNOWN AS 'THE PHILIPPINE AIDS PREVENTION AND CONTROL ACT OF 1998', AND APPROPRIATING FUNDS THEREFOR",,,,"National","HEALTH","BRAWNER BAGUILAT, TEODORO JR.","Substituted by HB05178, Mother Bill Status: Approved by the House on 2014-12-01, transmitted to the Senate on 2014-12-03 and received by the Senate on 2014-12-03","bill","co-author","no",
2013-09-05,"HB02768","AN ACT CONVERTING THE PILI - BULA PROVINCIAL ROAD IN THE PROVINCE OF CAMARINES SUR TO A NATIONAL SECONDARY ROAD AND APPROPRIATING FUNDS THEREFOR",,,,"Local","PUBLIC WORKS AND HIGHWAYS","FORTUNO, SALVIO B.","Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2013-09-10","bill","co-author","no",
2013-09-10,"HB02791","AN ACT STRENGTHENING AND SECURING THE RIGHTS OF THE URBAN POOR AGAINST EVICTIONS AND/OR DEMOLITIONS AND TO PROVIDE ADEQUATE HOUSING AMENDING FOR THIS PURPOSE REPUBLIC ACT NO. 7279 OTHERWISE KNOWN AS 'AN ACT TO PROVIDE FOR A COMPREHENSIVE AND CONTINUING URBAN DEVELOPMENT AND HOUSING PROGRAM, ESTABLISH THE MECHANISM FOR ITS IMPLEMENTATION, AND FOR OTHER PURPOSES' OR THE 'URBAN DEVELOPMENT AND HOUSING ACT OF 1992'",,,,"National","HOUSING AND URBAN DEVELOPMENT","PAEZ, CRESENTE C.","Substituted by HB06446, Mother Bill Status: Pending With Rules (Included in OB on 2016-05-23)","bill","co-author","no",
2013-09-11,"HB02854","AN ACT PROVIDING FOR THE INCLUSION OF VIOLENCE AGAINST SPOUSES AND THEIR CHILDREN AS A ADDITIONAL GROUND TO ANNUL MARRIAGE, THEREBY AMENDING SECTION 45 OF EXECUTIVE ORDER NO. 209, SERIES OF 1987 ENTITLED 'THE FAMILY CODE OF THE PHILIPPINES'",,,,"National","REVISION OF LAWS","LEACHON, DOY C.","Pending with the Committee on REVISION OF LAWS since 2013-09-17","bill","co-author","no",
2013-10-23,"HB03237","AN ACT TO STRENGTHEN THE RIGHT OF CITIZENS TO INFORMATION HELD BY THE GOVERNMENT",,,,"National","PUBLIC INFORMATION","GERONA-ROBREDO, MARIA LEONOR","Substituted by HB05801, Mother Bill Status: Pending With Rules (Included in OB on 2015-06-01)","bill","primary author","no",
2013-11-13,"HB03348","AN ACT COMMEMORATING THE 24TH OF OCTOBER OF EVERY YEAR HENCEFORTH AS NON-WORKING LEGAL HOLIDAY IN THE MUNICIPALITY OF PILI IN HONOR OF THE FEAST OF ITS PATRON SAINT, ST. RAPHAEL, THE ARCHANGEL",,,,"Local","REVISION OF LAWS","GERONA-ROBREDO, MARIA LEONOR","Substituted by HB04121, Mother Bill Status: Approved by the House on 2014-05-12, transmitted to the Senate on 2014-05-14 and received by the Senate on 2014-05-14","bill","primary author","no",
2013-11-25,"HB03421","AN ACT AMENDING REPUBLIC ACT NO. 4156, ENTITLED 'AN ACT CREATING THE PHILIPPINE NATIONAL RAILWAYS, PRESCRIBING ITS POWERS, FUNCTIONS AND DUTIES, AND PROVIDING FOR THE NECESSARY FUNDS FOR ITS OPERATIONS,' AS AMENDED BY REPUBLIC ACT NO. 6366 AND PRESIDENTIAL DECREE NO. 741",,,,"National","GOVERNMENT ENTERPRISES AND PRIVATIZATIONS","GERONA-ROBREDO, MARIA LEONOR","Under study by the Technical Working Group(TWG) on 2014-01-29","bill","primary author","no",
2013-11-26,"HB03432","AN ACT PROHIBITING DISCRIMINATION ON THE BASIS OF ETHNICITY, RACE, RELIGION OR BELIEF, SEX, GENDER, SEXUAL ORIENTATION, GENDER IDENTITY AND EXPRESSIONS, LANGUAGE, DISABILITY, HIV STATUS, AND OTHER STATUS, AND PROVIDING PENALTIES THEREFOR",,,,"National","HUMAN RIGHTS","BAG-AO, KAKA J.","Pending with the Committee on HUMAN RIGHTS since 2013-12-03","bill","co-author","no",
2013-11-27,"HB03444","AN ACT PROVIDING FOR THE CENTRALIZED ACCREDITATION OF NON-GOVERNMENTAL ORGANIZATIONS AND PEOPLE'S ORGANIZATIONS ELIGIBLE TO ACCESS GOVERNMENT FUNDS AND PROVIDING A SYSTEM OF ACCOUNTABILITY AND TRANSPARENCY FOR THE USE OF SAID FUNDS",,,,"National","PEOPLE","BRAWNER BAGUILAT, TEODORO JR.","Substituted by HB04688, Mother Bill Status: Business for the day on 2014-08-06","bill","co-author","no",
2013-12-04,"HB03505","AN ACT DECLARING EVERY 19TH DAY OF JUNE AS 'ARAW NG PAGSULAT', A REGULAR WORKING HOLIDAY",,,,"National","REVISION OF LAWS","BATAOIL, LEOPOLDO N.","Substituted by HB04444, Mother Bill Status: Approved by the House on 2014-05-26, transmitted to the Senate on 2014-05-28 and received by the Senate on 2014-05-28","bill","co-author","no",
2013-12-04,"HB03514","AN ACT MAKING ELECTION SERVICE VOLUNTARY FOR PUBLIC SCHOOL TEACHERS AND OTHER QUALIFIED CITIZENS, PROVIDING FOR INSURANCE AND OTHER BENEFITS, AMENDING FOR THE PURPOSE THE OMNIBUS ELECTION CODE, REPUBLIC ACT NO. 6646, AND OTHER ELECTION LAWS",,"RA10756",,"National","SUFFRAGE AND ELECTORAL REFORMS","GERONA-ROBREDO, MARIA LEONOR","Substituted by HB05412, Mother Bill Status: Republic Act RA10756 enacted on 2016-04-08","bill","primary author","yes",2016-04-08
2013-12-16,"HB03587","AN ACT PROHIBITING THE ESTABLISHMENT OF POLITICAL DYNASTIES"," The Anti - Political Dynasty Act Of 2013",,,"National","RULES","COLMENARES, NERI","Unfinished Business (Period of Amendments)","bill","co-author","no",
2014-01-29,"HB03768","AN ACT CREATING THE BICOL REGION ANTI-ILLEGAL FISHING AUTHORITY (BRAIFA) AND PROVIDING FUNDS THEREFOR",,,,"Local","AQUACULTURE AND FISHERIES RESOURCES","ESCUDERO, EVELINA G.","Pending with the Committee on AQUACULTURE AND FISHERIES RESOURCES since 2014-02-04","bill","co-author","no",
2014-02-03,"HB03795","AN ACT PROVIDING A FRAMEWORK FOR THE RIGHT TO ADEQUATE FOOD, AND FOR OTHER PURPOSES",,,,"National","HUMAN RIGHTS","GUTIERREZ, IBARRA III M.","Pending with the Committee on HUMAN RIGHTS since 2014-02-10","bill","co-author","no",
2014-02-10,"HB03881","AN ACT TO EFFECTIVELY INSTILL HEALTH CONSCIOUSNESS THROUGH PICTURE-BASED HEALTH WARNINGS ON TOBACCO PRODUCTS",,"RA10643",,"National","HEALTH","BICHARA, AL FRANCIS D.","Substituted by HB04590, Mother Bill Status: Republic Act RA10643 enacted on 2014-07-15","bill","co-author","yes",2014-07-15
2014-02-11,"HB03899","AN ACT CREATING THE QUEZON CITY DEVELOPMENT AUTHORITY (QCDA), DEFINING ITS POWERS AND FUNCTIONS, PROVIDING FOR ITS ORGANIZATIONAL STRUCTURE AND CAPITALIZATION AND FOR OTHER PURPOSES"," Charter Of The Quezon City Development Authority",," AN ACT CREATING THE QUEZON CITY DEVELOPMENT AUTHORITY (QCDA), DEFINING ITS POWERS AND FUNCTIONS, PROVIDING FOR ITS ORGANIZATIONAL STRUCTURE AND CAPITALIZATION","Local","RULES","BELMONTE, JOSE CHRISTOPHER Y.","REPUBLIC ACT RA10646 (Lapsed into law on 2014-11-08)","bill","co-author","no",
2014-02-12,"HB03905","AN ACT INSTITUTIONALIZING CITIZENS PARTICIPATION IN THE BUDGET PROCESS AND FOR OTHER PURPOSES",,,,"National","PEOPLE","GERONA-ROBREDO, MARIA LEONOR","Substituted by HB04113, Mother Bill Status: Pending With Rules (Included in OB on 2014-03-11)","bill","primary author","no",
2014-02-26,"HB04021","AN ACT REGULATING THE AVAILABILITY OF BEVERAGES TO CHILDREN IN SCHOOLS AND FOR OTHER PURPOSES",,,,"National","BASIC EDUCATION AND CULTURE","BAG-AO, KAKA J.","Referred to Stakeholders on 2014-04-02","bill","co-author","no",
2014-03-03,"HB04032","AN ACT INSTITUTIONALIZING INDUSTRY CLUSTER-BASED PROGRAMS AND PROJECTS THROUGH INTER-LOCAL COOPERATION AND PEOPLE'S PARTICIPATION"," People's Participation In Industry Cluster - Based Programs And Projects Act",,,"National","RULES","CRUZ-GONZALES, CINCHONA","Approved by the House on 2014-05-05, transmitted to the Senate on 2014-05-07 and received by the Senate on 2014-05-07","bill","co-author","no",
2014-03-04,"HB04073","AN ACT GRANTING PHILIPPINE CITIZENSHIP TO FARRELL ELDRIAN WU"," Granting Philippine Citizenship To Farrell Eldrian Wu","RA10672"," AN ACT GRANTING PHILIPPINE CITIZENSHIP TO FARRELL ELDRIAN WU","National","JUSTICE","GERONA-ROBREDO, MARIA LEONOR","Republic Act RA10672 enacted on 2015-08-19","bill","primary author","yes",2015-08-19
2014-03-05,"HB04085","AN ACT ESTABLISHING THE OPEN HIGH SCHOOL SYSTEM IN THE PHILIPPINES AND APPROPRIATING FUNDS THEREFOR"," Open High School System Act","RA10665"," AN ACT ESTABLISHING THE OPEN HIGH SCHOOL SYSTEM IN THE PHILIPPINES AND APPROPRIATING FUNDS THEREFOR","National","RULES","GONZALES, NEPTALI II M.","Republic Act RA10665 enacted on 2015-07-09","bill","co-author","yes",2015-07-09
2014-03-06,"HB04089","AN ACT EXTENDING THE CORPORATE LIFE OF THE PHILIPPINE NATIONAL RAILWAYS FOR ANOTHER FIFTY (50) YEARS, FURTHER AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 4156, AS AMENDED, ENTITLED 'AN ACT CREATING THE PHILIPPINE NATIONAL RAILWAYS, PRESCRIBING ITS POWERS, FUNCTIONS AND DUTIES, AND PROVIDING FOR THE NECESSARY FUNDS FOR ITS OPERATION'"," Extending The Corporate Life Of The Philippine National Railways For Another Fifty (50) Years","RA10638"," AN ACT EXTENDING THE CORPORATE LIFE OF THE PHILIPPINE NATIONAL RAILWAYS FOR ANOTHER FIFTY (50) YEARS, FURTHER AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 4156, AS AMENDED, ENTITLED 'AN ACT CREATING THE PHILIPPINE NATIONAL RAILWAYS, PRESCRIBING ITS POWERS, FUNCTIONS AND DUTIES, AND PROVIDING FOR THE NECESSARY FUNDS FOR ITS OPERATION'","National","RULES","ABU, RANEO E.","Republic Act RA10638 enacted on 2014-06-16","bill","co-author","yes",2014-06-16
